Id,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
2000,199,within an hour,1,1,t,5,f,-33.91873218,151.2420354,Boutique hotel,Hotel room,2,1,0,1,Real Bed,,,1,0,1,1125,3,100,10,10,9,10,10,10,t,flexible,f,f,0.23
2001,95,N/A,N/A,0.83,t,1,f,-33.69842536,151.2909795,Guest suite,Entire home/apt,4,1,1,2,Real Bed,0,40,1,7,2,45,18,100,10,10,10,10,10,10,t,moderate,f,f,0.83
2002,156,within an hour,0.91,0.98,f,8,f,-33.8473879,151.0728898,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,90,4,30,1,1125,80,92,9,9,10,10,10,9,f,strict_14_with_grace_period,f,f,6.9
2003,100,within an hour,0.99,0.97,f,260,f,-33.87026105,151.1951312,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,250,2,0,2,1125,20,97,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.32
2004,100,within a day,1,N/A,f,1,f,-33.90816791,151.2118495,Apartment,Private room,1,1,1,1,Real Bed,400,50,1,0,3,3,1,,,,,,,,f,moderate,f,f,0.07
2005,61,within an hour,1,1,f,1,f,-33.89946426,151.2113632,Apartment,Private room,2,1,1,1,Real Bed,,10,1,0,1,1125,7,94,10,9,9,9,9,10,t,moderate,f,f,1.52
2006,160,N/A,N/A,N/A,f,2,t,-34.03140107,151.1063191,Apartment,Entire home/apt,4,2,2,3,Real Bed,,,1,0,1,1125,0,,,,,,,,t,flexible,f,f,
2007,69,within an hour,1,0.91,f,2,f,-33.76675722,151.2073328,House,Private room,2,1,1,1,Real Bed,250,80,1,0,2,1125,1,100,10,8,10,10,8,10,t,flexible,f,f,0.07
2008,150,within an hour,1,1,f,1,t,-33.87628645,151.2208878,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,2,30,2,555,16,98,10,9,10,10,10,10,t,strict_14_with_grace_period,f,f,0.59
2009,155,N/A,N/A,N/A,f,2,t,-33.87639441,151.174115,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,,,1,0,7,11,0,,,,,,,,f,flexible,f,f,
